"n_pcs","cluster","cells"
6,"0",631
6,"1",545
6,"2",344
6,"3",260
6,"4",240
6,"5",226
6,"6",190
6,"7",160
6,"8",29
6,"9",13
7,"0",590
7,"1",463
7,"2",344
7,"3",271
7,"4",264
7,"5",221
7,"6",160
7,"7",146
7,"8",136
7,"9",29
7,"10",14
8,"0",734
8,"1",484
8,"2",451
8,"3",344
8,"4",276
8,"5",160
8,"6",145
8,"7",30
8,"8",14
9,"0",545
9,"1",530
9,"2",481
9,"3",344
9,"4",272
9,"5",162
9,"6",145
9,"7",114
9,"8",32
9,"9",13
10,"0",706
10,"1",482
10,"2",475
10,"3",344
10,"4",271
10,"5",160
10,"6",154
10,"7",32
10,"8",14
11,"0",677
11,"1",479
11,"2",453
11,"3",343
11,"4",335
11,"5",164
11,"6",142
11,"7",32
11,"8",13
12,"0",630
12,"1",506
12,"2",482
12,"3",343
12,"4",311
12,"5",160
12,"6",160
12,"7",32
12,"8",14
13,"0",631
13,"1",515
13,"2",478
13,"3",343
13,"4",304
13,"5",166
13,"6",157
13,"7",31
13,"8",13
