"cluster","gene","avg_log2FC","pct.1","pct.2","p_val_adj"
"0","CCR7",2.42613329012889,0.428,0.107,2.53094600522331e-78
"0","LEF1",2.10270077416204,0.331,0.101,1.15964309138814e-45
"0","PRKCQ-AS1",2.03631293874136,0.327,0.108,6.1627318141154e-41
"0","MAL",2.02197123119257,0.268,0.082,5.69708150822833e-34
"0","PIK3IP1",1.5358992030989,0.435,0.181,1.92632718637343e-40
"0","TCF7",1.32782005403086,0.381,0.176,4.69685999598734e-29
"0","FLT3LG",1.30282987484232,0.262,0.139,6.028535280261e-12
"0","NOSIP",1.25028516759545,0.625,0.353,1.75443435237007e-46
"0","LDHB",1.20891775881378,0.899,0.589,2.9464975995284e-110
"0","LEPROTL1",1.17417918146518,0.398,0.206,5.6793397780129e-23
"1","FOLR3",7.26999182828349,0.298,0.004,1.03457568319411e-133
"1","S100A12",6.7267281112611,0.275,0.006,3.74498326428645e-116
"1","S100A8",6.66857309727915,0.971,0.121,0
"1","S100A9",6.19984447835938,0.996,0.214,0
"1","CD14",5.98312609529424,0.665,0.027,3.74676173001301e-291
"1","ASGR1",5.70904513279785,0.37,0.015,3.37115386156289e-147
"1","LGALS2",5.70424711232937,0.907,0.058,0
"1","MS4A6A",5.31859695028937,0.682,0.041,9.13562746317336e-272
"1","RBP7",4.99186053120395,0.312,0.013,9.83415442336372e-122
"1","LYZ",4.78169111315394,1,0.516,7.0833519691365e-266
"2","AQP3",2.11608312256799,0.419,0.115,8.28843158905975e-51
"2","CD40LG",1.96163871052359,0.277,0.069,8.69912206445062e-34
"2","CD2",1.63834490851087,0.652,0.25,6.07771833935295e-52
"2","TRADD",1.55166042820745,0.381,0.136,2.18087453460759e-31
"2","OPTN",1.54944836775515,0.306,0.11,4.85996982468511e-21
"2","SUSD3",1.49667597081256,0.284,0.114,3.13935088842696e-16
"2","TRAT1",1.4843355342933,0.392,0.128,4.41014160476929e-34
"2","TTC39C",1.4586019005049,0.304,0.099,2.97144948964962e-25
"2","IL7R",1.40211793225279,0.745,0.332,2.09503821502381e-58
"2","IL32",1.34750482645056,0.951,0.47,2.72054921270024e-85
"3","LINC00926",7.37983117160881,0.564,0.009,3.01429426830128e-268
"3","VPREB3",7.13462849177559,0.488,0.007,3.45103688655508e-233
"3","CD79A",6.91120817917213,0.936,0.041,0
"3","FCRLA",6.72040182750397,0.297,0.006,8.90526462342195e-131
"3","TCL1A",6.68762136376984,0.622,0.022,1.21988299695565e-266
"3","FCER2",6.36060987415434,0.381,0.009,3.03452482712974e-166
"3","TSPAN13",6.05628867746633,0.311,0.007,5.05094326994296e-134
"3","MS4A1",5.71892659804429,0.855,0.053,0
"3","PKIG",5.51954920559533,0.276,0.008,9.41973165611114e-112
"3","HLA-DOB",5.48406164402933,0.288,0.011,1.44903592814755e-110
"4","GZMK",4.34080846747498,0.591,0.057,4.45790790146186e-160
"4","GZMH",3.59882621046079,0.438,0.061,1.05923004049421e-88
"4","CD8A",3.20639159873674,0.493,0.074,5.08214715065727e-93
"4","CCL5",3.17832837393012,0.964,0.241,1.43712458832814e-175
"4","KLRG1",2.94972427176678,0.471,0.073,1.1614148977754e-86
"4","NCR3",2.69477144353528,0.286,0.072,9.07241167897373e-29
"4","CST7",2.59906071490758,0.819,0.124,2.6702669723518e-167
"4","GZMA",2.59567365998625,0.826,0.124,2.64167303320823e-165
"4","MATK",2.58475073713515,0.272,0.046,5.21458780312753e-40
"4","NKG7",2.52719513961409,0.967,0.221,1.20853982609473e-169
"5","CKB",5.90060176333446,0.375,0.005,5.60030321567588e-166
"5","CDKN1C",5.44785301514711,0.512,0.01,2.61246477239088e-211
"5","MS4A4A",4.98728910686274,0.375,0.012,5.7501472585638e-128
"5","HES4",4.98721932026683,0.588,0.02,9.9387315653756e-202
"5","BATF3",4.83150747213521,0.3,0.01,3.01675102631569e-101
"5","MS4A7",4.39654595960299,0.812,0.073,2.92848335224169e-182
"5","CTD-2006K23.1",4.35121855961019,0.281,0.016,2.57898932606489e-72
"5","LILRA3",4.19799128379692,0.537,0.031,7.05046831359885e-141
"5","FCGR3A",4.07819030910679,0.975,0.135,9.57460233568738e-179
"5","RP11-290F20.3",4.07520379019907,0.844,0.069,9.15032095600227e-196
"6","AKR1C3",6.19782583253422,0.49,0.014,2.33683165831813e-177
"6","GZMB",5.99190043566968,0.993,0.07,4.09792800928454e-267
"6","SH2D1B",5.93471177232591,0.297,0.008,2.43246277551903e-105
"6","SPON2",5.80563750944047,0.772,0.04,1.67737435295973e-228
"6","GNLY",5.47368512416699,0.959,0.135,1.86182599501867e-172
"6","FGFBP2",5.441502511325,0.903,0.064,2.68998915404135e-233
"6","CLIC3",5.25912753521361,0.586,0.03,3.46446736258008e-165
"6","IGFBP7",5.20391249586655,0.572,0.058,3.01602751023565e-108
"6","PRSS23",5.17527079033443,0.428,0.015,2.81254848691511e-138
"6","XCL2",5.09255211660647,0.524,0.025,1.755942389466e-151
"7","SERPINF1",8.12256676605609,0.533,0.002,1.8556694541573e-217
"7","FCER1A",7.59999007739956,0.8,0.012,1.27044791550277e-196
"7","CLIC2",6.71000322496915,0.3,0.002,3.26747280370561e-106
"7","CLEC10A",5.83473233008445,0.7,0.016,3.963627160739e-130
"7","ENHO",5.75069487239927,0.433,0.005,6.82024074595011e-119
"7","CD1C",4.85607488368126,0.6,0.02,5.57337932684669e-82
"7","UPK3A",4.49567949173339,0.3,0.009,1.21295888207601e-41
"7","PON2",4.15760857942518,0.267,0.009,3.75406716445331e-34
"7","P2RY13",4.09267916856463,0.267,0.015,4.80743416084909e-21
"7","CACNA2D3",4.01307329360354,0.4,0.014,1.61275041481347e-50
"8","LY6G6F",14.2573548550523,0.571,0,0
"8","RP11-879F14.2",13.8271619704986,0.357,0,5.48087076430995e-202
"8","CLDN5",13.1622752043662,0.429,0,9.10634622348386e-208
"8","GP9",12.8094708383552,0.929,0.001,0
"8","AP001189.4",12.4094506673817,0.857,0.001,0
"8","ITGA2B",12.0749667175377,0.857,0.001,0
"8","TMEM40",11.6385434007489,0.786,0.001,0
"8","PF4",11.4728016922281,1,0.01,9.71963891604164e-196
"8","PPBP",11.4196218233489,1,0.024,4.63221854972811e-106
"8","PTCRA",11.4143390170157,0.786,0.003,9.3979125836988e-246
